brand,model_series,model_sku,charger_type,mounting_type,max_charging_power_kw,max_charging_current_a,number_of_phases,connector_type,number_of_connectors,authentication_methods,communication_protocols,protection_category,weight_kg,dimensions_mm,features
Alfen,Eve Single Pro-line DE,NG910-60123,AC,Wall-mounted,22.0,32,3,Type 2 Socket,1,"RFID, Plug & Charge","OCPP 1.5J, 1.6J, 2.0.1",IP55,4.5,370x240x175,"{'display': '3.5-inch TFT', 'energy_meter': 'MID certified, Eichrecht compliant', 'dc_leakage_detection': '6mA'}"
Alfen,Eve Single Pro-line DE,NG910-60127,AC,Wall-mounted,22.0,32,3,Type 2 Fixed Cable,1,"RFID, Plug & Charge","OCPP 1.5J, 1.6J, 2.0.1",IP55,4.5,470x320x290,"{'display': '3.5-inch TFT', 'energy_meter': 'MID certified, Eichrecht compliant', 'dc_leakage_detection': '6mA'}"
Alfen,Eve Single S-line,Eve Single S-line,AC,Wall-mounted,22.0,32,3,Type 2 Socket or Fixed Cable,1,"RFID, Plug & Charge","OCPP 1.5J, 1.6J",IP55,4.5,370x240x130,"{'status_indicator': 'LED', 'dc_leakage_detection': '6mA'}"
